timestamp1,timestamp2,difference
1678995622163974000,1678995622165141000,1167000
1678995622163975000,1678995622165142000,1167000
1678995622163976000,1678995622165143000,1167000
1678995622163976000,1678995622165144000,1168000
1678995622163977000,1678995622165145000,1168000
1678995622163978000,1678995622165146000,1168000
1678995622163979000,1678995622165147000,1168000
1678995622163980000,1678995622165147000,1167000
1678995622163981000,1678995622165148000,1167000
1678995622163982000,1678995622165149000,1167000
1678995622163982000,1678995622165150000,1168000
1678995622163983000,1678995622165151000,1168000
1678995622163984000,1678995622165152000,1168000
1678995622163985000,1678995622165152000,1167000
1678995622163986000,1678995622165153000,1167000
1678995622163987000,1678995622165154000,1167000
1678995622163987000,1678995622165155000,1168000
1678995622163988000,1678995622165156000,1168000
1678995622163989000,1678995622165157000,1168000
1678995622163990000,1678995622165158000,1168000
1678995622163991000,1678995622165158000,1167000
1678995622163992000,1678995622165159000,1167000
1678995622163993000,1678995622165160000,1167000
1678995622163994000,1678995622165161000,1167000
1678995622163994000,1678995622165162000,1168000
1678995622163995000,1678995622165163000,1168000
1678995622163996000,1678995622165164000,1168000
1678995622163997000,1678995622165164000,1167000
1678995622163998000,1678995622165165000,1167000
1678995622163999000,1678995622165166000,1167000
1678995622164000000,1678995622165167000,1167000
1678995622164000000,1678995622165168000,1168000
1678995622164001000,1678995622165169000,1168000
1678995622164002000,1678995622165170000,1168000
1678995622164003000,1678995622165170000,1167000
1678995622164004000,1678995622165171000,1167000
1678995622164005000,1678995622165172000,1167000
1678995622164006000,1678995622165173000,1167000
1678995622164006000,1678995622165174000,1168000
1678995622164007000,1678995622165175000,1168000
1678995622164008000,1678995622165176000,1168000
1678995622164009000,1678995622165176000,1167000
1678995622164010000,1678995622165177000,1167000
1678995622164011000,1678995622165178000,1167000
1678995622164011000,1678995622165179000,1168000
1678995622164012000,1678995622165180000,1168000
1678995622164013000,1678995622165181000,1168000
1678995622164014000,1678995622165182000,1168000
1678995622164015000,1678995622165182000,1167000
1678995622164016000,1678995622165183000,1167000
1678995622164017000,1678995622165184000,1167000
1678995622164017000,1678995622165185000,1168000
1678995622164018000,1678995622165186000,1168000
1678995622164019000,1678995622165187000,1168000
1678995622164020000,1678995622165187000,1167000
1678995622164021000,1678995622165188000,1167000
1678995622164022000,1678995622165189000,1167000
1678995622164023000,1678995622165190000,1167000
1678995622164023000,1678995622165191000,1168000
1678995622164024000,1678995622165192000,1168000
1678995622164025000,1678995622165193000,1168000
1678995622164026000,1678995622165193000,1167000
1678995622164027000,1678995622165194000,1167000
1678995622164028000,1678995622165195000,1167000
1678995622164029000,1678995622165196000,1167000
1678995622164029000,1678995622165197000,1168000
1678995622164030000,1678995622165198000,1168000
1678995622164031000,1678995622165199000,1168000
1678995622164032000,1678995622165199000,1167000
1678995622164033000,1678995622165200000,1167000
1678995622164034000,1678995622165201000,1167000
1678995622164035000,1678995622165202000,1167000
1678995622164035000,1678995622165203000,1168000
1678995622164036000,1678995622165204000,1168000
1678995622164037000,1678995622165204000,1167000
1678995622164038000,1678995622165205000,1167000
1678995622164039000,1678995622165206000,1167000
1678995622164040000,1678995622165207000,1167000
1678995622164040000,1678995622165208000,1168000
